doc_id,tier,title_en,title_ar,issuing_body,country,doc_type,status,sector,year,version,url,url_accessed,http_status,format,language,is_official_translation,sha256,bytes,page_count,itu_factors,itu_dimensions,reference_pair,license_note,local_path,notes
SAU-NCA-ECC-2024,core,Essential Cybersecurity Controls,الضوابط الأساسية للأمن السيبراني,National Cybersecurity Authority (NCA),SAU,controls,binding,cross_sector,2024,ECC-2,https://cdn.nca.gov.sa/api/files/public/upload/86e09090-44e4-481f-bc28-355673607654_ECC--2024-EN.pdf,2026-07-30,200,pdf,en,TRUE,146505199e5374d99302fc3d7e1fdc73b6e2f3292fefd535d5dd891294a81db1,1231347,56,standards,10;13,USA-NIST-SP80053-2020,"Publicly available on the issuing body's site. Redistribution rights unconfirmed — raw copy kept local, not committed.",raw/SAU-NCA-ECC-2024.pdf,"ECC-2:2024, current edition. Cross-sector baseline; bridges the finance-specific SAMA framework to national controls. Pair configured against SP 800-53 but not executed: the demonstrated pair is finance-sector (SAMA), and NCA controls are cross-sector."
SAU-SAMA-CSF-2017,core,Cyber Security Framework,إطار الأمن السيبراني,Saudi Central Bank (SAMA),SAU,framework,binding,finance,2017,1.0,https://rulebook.sama.gov.sa/en/cyber-security-framework-3,2026-08-08,200,pdf,en,TRUE,ce68ce5a316350946746025619601245d3d26de08fbf4882ffdf1fa8ee088cb9,1557571,56,standards,4;10,USA-NIST-SP80053-2020,Publicly readable. Redistribution rights unconfirmed — keep raw copy local.,raw/SAU-SAMA-CSF-2017.pdf,"4 domains, 32 subdomains, 493 parsed clauses (407 leaf). Contains no standards-mapping appendix. SAMA publishes no stable direct file URL: the recorded url is the rulebook page from which the PDF downloads. The sha256 and page_count describe the PDF held locally (downloaded 2026-07-30), not the page response, so `verify --upstream` reports a false drift by design. Page URL verified 2026-08-08."
SAU-SDAIA-AIADOPT-2025,core,AI Adoption Framework,إطار تبني الذكاء الاصطناعي,Saudi Data and AI Authority (SDAIA),SAU,framework,advisory,cross_sector,2025,2,https://sdaia.gov.sa/en/SDAIA/about/Files/AIAdoptionFramework.pdf,2026-07-30,200,pdf,en,TRUE,8f225e863f5fe20b3180d9c7c9c197d01aff2c9dd85d0dd6acd0b34a8fb5dc9f,2844472,48,data;deployment_support;research,5;7;13,,"Publicly available on the issuing body's site. Redistribution rights unconfirmed — raw copy kept local, not committed.",raw/SAU-SDAIA-AIADOPT-2025.pdf,"Four maturity levels; enablers = data, technology, human capabilities, responsible use. Those four correspond to the ITU readiness factors — a national correspondence reported in the paper."
SAU-SDAIA-AIETHICS-2025,core,AI Ethics Principles,مبادئ أخلاقيات الذكاء الاصطناعي,Saudi Data and AI Authority (SDAIA),SAU,guidelines,advisory,cross_sector,2025,1,https://sdaia.gov.sa/en/SDAIA/about/Documents/ai-principles.pdf,2026-07-30,200,pdf,en,TRUE,b1b923d44cb39118049830a35254b686ca4720398cdccef3f1a52cea8218911e,1866649,50,standards;data,10;7,USA-NIST-AIRMF-2023,"Publicly available on the issuing body's site. Redistribution rights unconfirmed — raw copy kept local, not committed.",raw/SAU-SDAIA-AIETHICS-2025.pdf,"Core AI-governance instrument. Defines risk classification, ethics impact assessment, Responsible AI Officer / AI System Assessor roles, and a maturity model."
SAU-SDAIA-GENAIGOV-2025,core,Generative Artificial Intelligence for Government,ضوابط الذكاء الاصطناعي التوليدي للجهات الحكومية,Saudi Data and AI Authority (SDAIA),SAU,guidelines,advisory,general,2025,1,https://sdaia.gov.sa/en/SDAIA/about/Files/GenAIGuidelinesForGovernmentENCompressed.pdf,2026-07-30,200,pdf,en,TRUE,fb2427075540afee124b5bd8a9e497ed6a0a99db54ecfe64c6900d451ee5a2cb,4176935,30,standards,10;5,USA-NIST-AIRMF-2023,"Publicly available on the issuing body's site. Redistribution rights unconfirmed — raw copy kept local, not committed.",raw/SAU-SDAIA-GENAIGOV-2025.pdf,Issued May 2025. Contains a compliance checklist — good structured source for the gap engine.
SAU-SDAIA-PDPL-2023,core,Personal Data Protection Law,نظام حماية البيانات الشخصية,Saudi Data and AI Authority (SDAIA),SAU,law,binding,cross_sector,2023,"M/19 (2021), amended by M/148 (2023)",https://sdaia.gov.sa/en/SDAIA/about/Documents/Personal%20Data%20English%20V2-23April2023-%20Reviewed-.pdf,2026-07-30,200,pdf,en,TRUE,f832f3024543ddf3efdbabbae14d6b302d07fcde8e3e9bb2ef7abbeb84b0790c,3000276,16,data;standards,10;4,,"Publicly available on the issuing body's site. Redistribution rights unconfirmed — raw copy kept local, not committed.",raw/SAU-SDAIA-PDPL-2023.pdf,"Issued by Royal Decree M/19 of 09/02/1443 AH (16/09/2021); amended by Royal Decree M/148 of 05/09/1444 AH (27/03/2023). English edition V2, 23 April 2023. Arabic text authoritative."
USA-NIST-AIRMF-2023,core,Artificial Intelligence Risk Management Framework,,National Institute of Standards and Technology (NIST),USA,framework,advisory,general,2023,1.0,https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.100-1.pdf,2026-07-30,200,pdf,en,FALSE,7576edb531d9848825814ee88e28b1795d3a84b435b4b797d3670eafdc4a89f1,1946127,48,standards;research,10;7,,US Government work — public domain.,raw/USA-NIST-AIRMF-2023.pdf,Reference target for the SDAIA AI-ethics pair. Published January 2023.
USA-NIST-SP80053-2020,core,Security and Privacy Controls for Information Systems and Organizations,,National Institute of Standards and Technology (NIST),USA,standard,advisory,general,2025,Rev. 5 / Release 5.2.0,https://raw.githubusercontent.com/usnistgov/oscal-content/v1.5.0/nist.gov/SP800-53/rev5/json/NIST_SP-800-53_rev5_catalog.json,2026-07-30,200,json,en,FALSE,01f37cf90ea99d92242c936cbfbdebcc338eef1f71454e2acac36cc56e9bc062,10442037,0,standards,4;10,,US Government work — public domain. OSCAL JSON release preferred over the PDF.,raw/USA-NIST-SP80053-2020.json,"OSCAL content tag v1.5.0 (13 May 2026). doc_id year = revision lineage (Rev. 5, 2020); year field = release held (5.2.0, 2025)."
SAU-NDMO-DGPOL-2020,referenced,National Data Governance Interim Regulations,سياسات حوكمة البيانات الوطنية,"National Data Management Office (NDMO), SDAIA",SAU,policy,binding,general,2020,,https://sdaia.gov.sa/ndmo/Files/PoliciesEn.pdf,2026-08-08,,pdf,en,TRUE,,,,data,1;10,,"Publicly available on the issuing body's site. Redistribution rights unconfirmed — raw copy kept local, not committed.",,"Governs training-data quality and sharing for public-sector entities. URL verified 2026-08-08; cited, not retrieved."
SAU-SAMA-BCM-2017,referenced,Business Continuity Management Framework,إطار إدارة استمرارية الأعمال,Saudi Central Bank (SAMA),SAU,framework,binding,finance,2017,,https://rulebook.sama.gov.sa/en/business-continuity-management-framework-1,2026-08-08,,html,en,TRUE,,,,deployment_support,13,,"Publicly available on the issuing body's site. Redistribution rights unconfirmed — raw copy kept local, not committed.",,"Published as an HTML rulebook page; no PDF release. Basis for the documented exclusion of the CP control family: SAMA CSF 1.3 delegates business continuity to this instrument. URL verified 2026-08-08; cited, not retrieved."
SAU-SDAIA-DTR-2023,referenced,Regulation on Personal Data Transfer outside the Kingdom,ضوابط نقل البيانات الشخصية خارج المملكة,Saudi Data and AI Authority (SDAIA),SAU,implementing_regulation,binding,cross_sector,2024,2.0,https://dgp.sdaia.gov.sa/wps/wcm/connect/e5bbede0-1119-4f70-b4ef-f043ce58d780/Regulation+on+Personal+Data+Transfer+Outside+the+Kingdom..pdf?MOD=AJPERES&CONVERT_TO=url&CACHEID=ROOTWORKSPACE-e5bbede0-1119-4f70-b4ef-f043ce58d780-p6OMj1M,2026-08-09,,pdf,en,TRUE,,,,data,10;4,,"Publicly available on the issuing body's site. Redistribution rights unconfirmed — raw copy kept local, not committed.",,"Direct WCM file link (content-UUID based). doc_id year = original issuance lineage (2023); year field = version held (2.0, 2024). Cited in this report; not retrieved or indexed."
SAU-SDAIA-PDPLIR-2023,referenced,Implementing Regulation of the Personal Data Protection Law,اللائحة التنفيذية لنظام حماية البيانات الشخصية,Saudi Data and AI Authority (SDAIA),SAU,implementing_regulation,binding,cross_sector,2023,,https://dgp.sdaia.gov.sa/wps/wcm/connect/2a9a4744-a2ae-444f-bad2-6dacde843637/The+impelementing+regulation+of+the+personal+data+protection+law.pdf?MOD=AJPERES&CONVERT_TO=url&CACHEID=ROOTWORKSPACE-2a9a4744-a2ae-444f-bad2-6dacde843637-pSK-Oie,2026-08-09,,pdf,en,TRUE,,,,data,10,,"Publicly available on the issuing body's site. Redistribution rights unconfirmed — raw copy kept local, not committed.",,Direct WCM file link (content-UUID based). Held copy carries no version marker or issue date on the document itself; year = original issuance (2023); text reflects the M/148 amendment. Cited in this report; not retrieved or indexed.
INT-ITU-AIREADY-2025,method,AI Ready — Analysis Towards a Standardized Readiness Framework,,International Telecommunication Union (ITU),INT,report,advisory,general,2025,,https://www.itu.int/dms_pub/itu-t/opb/ai4g/T-AI4G-AI4GOOD-2025-6-PDF-E.pdf,2026-08-08,,pdf,en,FALSE,,,,standards;research,1;2;3;4;5;6;7;8;9;10;11;12;13,,ITU publication — check redistribution terms.,,"Source of the six factors and thirteen dimensions. Methodological reference, not a national policy document. URL verified 2026-08-08; cited, not retrieved."
INT-ITU-Y3172-2019,method,Architectural framework for machine learning in future networks including IMT-2020,,International Telecommunication Union (ITU-T),INT,standard,advisory,general,2019,Y.3172,https://www.itu.int/rec/T-REC-Y.3172-201906-I/en,2026-08-08,,html,en,FALSE,,,,standards,13,,ITU publication — check redistribution terms before committing the PDF.,,"Recommendation release page; the PDF downloads from the page without a stable file URL. Approved 2019-06-22, in force. Methodological reference — cited, not indexed. URL verified 2026-08-08."
USA-NIST-IR8477-2024,method,"Mapping Relationships Between Documentary Standards, Regulations, Frameworks, and Guidelines",,National Institute of Standards and Technology (NIST),USA,standard,advisory,general,2024,,https://nvlpubs.nist.gov/nistpubs/ir/2024/NIST.IR.8477.pdf,2026-08-08,,pdf,en,FALSE,,,,standards,10,,US Government work — public domain.,,"Defines the five set-theory relationship types the gap engine must emit. Methodological reference — do not index as national policy. URL verified 2026-08-08; cited, not retrieved."
